campaign_name,adset_name,ad_name,date_start,channel,impressions,clicks,spend,ctr,cpm,cpc,fb_action_onsite_web_purchase,fb_value_onsite_web_purchase,fb_roas,shopify_orders,shopify_revenue,shopify_cogs,shopify_profit,shopify_roas,shopify_conversion_rate,shopify_avg_order_value,revenue_difference,orders_difference,roas_difference,unique_skus,unique_sku_count,total_sku_quantity,utm_source,utm_medium,utm_campaign,utm_content,utm_term
TH-056-UMB,Tier 2 & 3 Pet Parents,TH-056-UMB_ET139_VP007,2025-07-01,,4830,124,1538.1,2.567287784679089,318.44720496894405,12.404032258064515,1.0,1999.0,1.2996554190234706,0,0.0,0.0,0.0,0.0,0.0,0.0,-1999.0,-1.0,-1.2996554190234706,,0,0,,,,,
TH-056-UMB,Urban Pet Parents,TH-056-UMB_ET139_VP007,2025-07-01,,417,10,251.13,2.3980815347721824,602.2302158273382,25.113,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-071-SUMMERMAT,Tier 2 & 3 Pet Parents,TH-071-SUMMERMAT_VP001_ET101,2025-07-01,,673,16,444.98,2.37741456166419,661.1887072808321,27.81125,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-071-SUMMERMAT,ICP Pet Parent,TH-071-SUMMERMAT_VP001_ET101,2025-07-01,,621,24,408.32,3.864734299516908,657.5201288244766,17.013333333333332,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,2025-07-01,,7862,118,2665.14,1.500890358687357,338.9900788603409,22.58593220338983,2.0,3998.0,1.500108812295039,0,0.0,0.0,0.0,0.0,0.0,0.0,-3998.0,-2.0,-1.500108812295039,,0,0,,,,,
TH-068-WILD – DUP,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,,827,19,233.84,2.2974607013301087,282.75695284159616,12.307368421052631,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD,ICP Pet Parent,TH-068-WILD_VP001_ET101,2025-07-01,,2193,37,550.69,1.68718650250798,251.1126310989512,14.883513513513515,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,,1795,32,376.16,1.7827298050139277,209.5598885793872,11.755,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-002-SKMISH,Wellness Buyers,TH-002-SKMISH_VP012_TM060,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-002-SKMISH,Social Engagers,TH-002-SKMISH_VP012_TM060,2025-07-01,,537,3,266.25,0.5586592178770949,495.8100558659218,88.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-002-SKMISH,Professionals Pet Parents,TH-002-SKMISH_VP012_TM060,2025-07-01,,458,2,215.23000000000002,0.43668122270742354,469.93449781659393,107.61500000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH - E2 RPP - Video - India - IG & FB - Sales - 04/05/2025,"S8L0 - E2 - Ad Set 2 (Dog Groomer, Animal welfare (social cause), Dog daycare)",TH-036FMB-ET101-SI210-ET137-ET139 – Copy,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-068-WILD_Static,2025-07-01,,1799,29,1035.3799999999999,1.6120066703724294,575.5308504724846,35.70275862068965,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
