campaign_name,adset_name,ad_name,date_start,hourly_window,start_hour,end_hour,channel,impressions,clicks,spend,ctr,cpm,cpc,fb_action_onsite_web_purchase,fb_value_onsite_web_purchase,fb_roas,shopify_orders,shopify_revenue,shopify_cogs,shopify_profit,shopify_roas,shopify_conversion_rate,shopify_avg_order_value,revenue_difference,orders_difference,roas_difference,unique_skus,unique_sku_count,total_sku_quantity,utm_source,utm_medium,utm_campaign,utm_content,utm_term,order_ids,order_count
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,21:00:00 - 21:59:59,,,Facebook,520,10,352.87,1.9231,678.5879,35.2866,,,,2,4198.0,1352.0,2846.0,11.89673250772239,20.0,2099.0,,,,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,19:00:00 - 19:59:59,,,Facebook,373,4,244.26,1.0724,654.8589,61.0656,1.0,2499.0,10.230901498403341,2,4198.0,1352.0,2846.0,17.186604437894047,50.0,2099.0,1699.0,1.0,6.955702939490706,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,17:00:00 - 17:59:59,,,Facebook,1810,19,291.6,1.0497,161.105,15.3474,,,,2,4198.0,1577.0,2621.0,14.396433470507544,10.526315789473683,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,19:00:00 - 19:59:59,,,Facebook,1540,20,253.46,1.2987,164.5844,12.673,,,,2,4198.0,1577.0,2621.0,16.562771245955968,10.0,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,21:00:00 - 21:59:59,,,Facebook,2408,31,392.72,1.2874,163.0897,12.6684,,,,2,4198.0,1577.0,2621.0,10.689549806477897,6.451612903225806,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,15:00:00 - 15:59:59,,,Facebook,1683,23,259.21,1.3666,154.0166,11.27,,,,2,4198.0,1577.0,2621.0,16.195362833224028,8.695652173913043,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,13:00:00 - 13:59:59,,,Facebook,3912,50,618.88,1.2781,158.2004,12.3776,,,,2,4198.0,1577.0,2621.0,6.783221302998966,4.0,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,13:00:00 - 13:59:59,,,Facebook,0,0,0.0,,,,,,0.0,2,4198.0,1352.0,2846.0,0.0,0.0,2099.0,,,0.0,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,00:00:00 - 00:59:59,,,Facebook,86,3,46.28,3.4884,538.1178,15.426,,,,2,4198.0,1352.0,2846.0,90.70872947277441,66.66666666666666,2099.0,,,,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,16:00:00 - 16:59:59,,,Facebook,1695,20,284.98,1.1799,168.1298,14.249,,,,2,4198.0,1577.0,2621.0,14.730858305846024,10.0,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,14:00:00 - 14:59:59,,,Facebook,0,0,0.0,,,,,,0.0,2,4198.0,1352.0,2846.0,0.0,0.0,2099.0,,,0.0,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,10:00:00 - 10:59:59,,,Facebook,670,12,134.37,1.791,200.5522,11.1975,,,,2,4198.0,1577.0,2621.0,31.24209272903178,16.666666666666664,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,16:00:00 - 16:59:59,,,Facebook,261,4,158.53,1.5326,607.3855,39.6319,,,,2,4198.0,1352.0,2846.0,26.4807922790639,50.0,2099.0,,,,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,11:00:00 - 11:59:59,,,Facebook,321,1,259.11,0.3115,807.1882,259.1074,,,,2,4198.0,1352.0,2846.0,16.2016132144649,200.0,2099.0,,,,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,20:00:00 - 20:59:59,,,Facebook,460,7,268.3,1.5217,583.2673,38.329,1.0,1699.0,6.332463660081998,2,4198.0,1352.0,2846.0,15.646664181885948,28.57142857142857,2099.0,2499.0,1.0,9.31420052180395,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,20:00:00 - 20:59:59,,,Facebook,2035,29,293.82,1.4251,144.3833,10.1317,1.0,1999.0,6.803485126948472,2,4198.0,1577.0,2621.0,14.287659111020353,6.896551724137931,2099.0,2199.0,1.0,7.484173984071881,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,23:00:00 - 23:59:59,,,Facebook,1783,18,285.16,1.0095,159.9327,15.8422,,,,2,4198.0,1577.0,2621.0,14.72155982606256,11.11111111111111,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,15:00:00 - 15:59:59,,,Facebook,207,3,109.59,1.4493,529.3961,36.5283,,,,2,4198.0,1352.0,2846.0,38.30641481887034,66.66666666666666,2099.0,,,,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
